"id","Name","Amount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","BUA01 SAN RAFAEL SABONG SPORTS LIVE GAMING (ANGAT COCKPIT ARENA)-ARENA","","December 7, 2021 4:47 PM","901987","798196","1700183","1631503","0","85009.15","247964","247964","3200","0","0","2840","0","-360","56.8","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","0","0","34060.46","0","0","0","0","0","0","0","","","","Ojie","0","0"
"16","BUA03 KCSA SABONG LIVE STREAMING (KALUMPITEÑO COCKPIT & SPORTS ARENA)-ARENA","","December 7, 2021 4:47 PM","828003","780015","1608018","1489718","0","80400.9","154735","154735","0","0","0","450","0","450","9","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","0","0","32169.36","0","0","0","0","0","0","0","","","","Ojie","0","0"
"17","BUA04 JNDR SPORTS CENTER-ARENA","","December 7, 2021 4:47 PM","577820","527340","1105160","1072452","300","55258","106643","106343","3200","0","0","2920","0","-280","58.4","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","300","0","22461.6","0","0","0","0","0","0","0","","","","Ojie","0","0"
"18","BUA06 CLINT ERYX COCKPIT ARENA (BALAGTAS COCKPIT ARENA)-ARENA","","December 7, 2021 4:47 PM","1094743","1016004","2110747","2035154","913","105537.35","162827","162827","0","0","0","5040","0","5040","100.8","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","913","0","43228.74","0","0","0","0","0","0","0","","","","Ojie","0","0"
"19","BUA07 SAN VICENTE - STA. MARIA COCKPIT ARENA CO. LTD.-ARENA","","December 7, 2021 4:47 PM","743119","727157","1470276","1314227","0","73513.8","166530","166530","3200","0","0","6390","0","3190","127.8","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","0","0","29533.32","0","0","0","0","0","0","0","","","","Ojie","0","0"
"20","BUA09 EDWIN'S COLISEUM-ARENA","","December 7, 2021 4:47 PM","335101","351715","686816","681298","177","34340.8","56314","56314","0","0","0","500","0","500","10","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","177","0","13923.32","0","0","0","0","0","0","0","","","","Ojie","0","0"
"21","BUA10 AUN SPORTS PUB-ARENA","","December 7, 2021 4:47 PM","1689946","1769247","3459193","3195461","1417","172959.65","267480","267480","10000","0","0","16250","0","6250","325","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","1417","0","70925.86","0","0","0","0","0","0","0","","","","Ojie","0","0"
"22","BUA11 GLOBALIWAG SPORTS CENTER-ARENA","","December 7, 2021 4:47 PM","959929","946901","1906830","1845081","0","95341.5","203135","203135","800","0","0","1460","0","660","29.2","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","0","0","38165.8","0","0","0","0","0","0","0","","","","Ojie","0","0"
"23","BUA12 MDC SPORTS CENTER (CSMB SPORTS CTR/SMB GRILL)-ARENA","","December 7, 2021 4:47 PM","238877","198575","437452","473608","0","21872.6","7110","7110","0","0","0","0","0","0","0","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","0","0","8749.04","0","0","0","0","0","0","0","","","","Ojie","0","0"
"24","BUA13 NORZAGARAY COCKPIT COLISEUM-ARENA","","December 7, 2021 4:47 PM","1621889","1562531","3184420","3125969","976","159221","218747","218747","0","0","0","1850","0","1850","37","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","976","0","64701.4","0","0","0","0","0","0","0","","","","Ojie","0","0"
